	date	title	link
837	2013-06-13	Разоблачитель американских спецслужб покинул отель в Гонконге	file:///news/2013-06-11/68486-razoblachitel_amerikanskih_spetssluzhb_pokinul_otel_v_gonkonge
838	2013-06-11	Стало известно имя информатора, обнародовавшего данные о секретном проекте американских спецслужб	file:///news/2013-06-10/68409-stalo_izvestno_imya_informatora_obnarodovavshego_dannye_o_sekretnom_proekte_amerikanskih_spetssluzhb
839	2013-06-10	Прокуратура требует лишить наград жителя Пушкино, который в Великую Отечественную воевал за Германию	file:///news/2013-05-28/67532-prokuratura_trebuet_lishit_nagrad_zhitelya_pushkino_kotoryy_v_velikuyu_otechestvennuyu_voeval_za_germaniyu
840	2013-05-28	В Норвегии тем, кому отказано в убежище, платят деньги, чтобы они уезжали домой добровольно	file:///news/2013-05-24/67282-v_norvegii_tem_komu_otkazano_v_ubezhische_platyat_dengi_chtoby_oni_uezzhali_domoy_dobrovolno
841	2013-05-24	В Российской армии возрождают спортивные роты	file:///news/2013-05-20/66892-v_rossiyskoy_armii_vozrozhdayut_sportivnye_roty
842	2013-05-20	Сирийская альтернатива — откупиться от армии или пойти добровольно	file:///news/2013-05-20/66869-siriyskaya_alternativa_otkupitsya_ot_armii_ili_poyti_dobrovolno
843	2013-05-20	Старейший в России Омский кадетский корпус отмечает 200 лет со дня основания	file:///news/2013-05-18/66760-stareyshiy_v_rossii_omskiy_kadetskiy_korpus_otmechaet_200_let_so_dnya_osnovaniya
844	2013-05-18	Раненый на Крите 11-летний мальчик из России пока останется в больнице Афин	file:///news/2013-05-16/66647-ranenyy_na_krite_11_letniy_malchik_iz_rossii_poka_ostanetsya_v_bolnitse_afin
845	2013-05-16	День Победы празднуют во Владивостоке, Хабаровске, Красноярске и на Камчатке	file:///news/2013-05-09/66168-den_pobedy_prazdnuyut_vo_vladivostoke_habarovske_krasnoyarske_i_na_kamchatke
846	2013-05-09	Первыми День Победы встретили жители восточных рубежей нашей Родины	file:///news/2013-05-09/66155-pervymi_den_pobedy_vstretili_zhiteli_vostochnyh_rubezhey_nashey_rodiny
847	2013-05-09	В Астраханской области подростки из социального центра восстановили заброшенную солдатскую могилу	file:///news/2013-05-08/66098-v_astrahanskoy_oblasti_podrostki_iz_sotsialnogo_tsentra_vosstanovili_zabroshennuyu_soldatskuyu_mogilu
848	2013-05-08	Во Владивостоке на баннерах вместо рекламы фотографии ветеранов Великой Отечественной войны	file:///news/2013-05-03/65817-vo_vladivostoke_na_bannerah_vmesto_reklamy_fotografii_veteranov_velikoy_otechestvennoy_voyny
